utt 347_mix.wav: mix 1.7082, est 1.7661
utt 637_mix.wav: mix 2.0733, est 2.4268
utt 654_mix.wav: mix 1.3087, est 1.5433
utt 409_mix.wav: mix 1.7358, est 1.5125
utt 972_mix.wav: mix 1.1301, est 1.2986
utt 205_mix.wav: mix 1.2585, est 1.4003
utt 57_mix.wav: mix 1.8506, est 1.7482
utt 332_mix.wav: mix 4.6439, est 3.0259
utt 773_mix.wav: mix 2.0129, est 2.3522
utt 326_mix.wav: mix 1.5503, est 1.7448
utt 983_mix.wav: mix 1.3087, est 1.3870
utt 107_mix.wav: mix 1.2975, est 1.3313
utt 132_mix.wav: mix 1.1692, est 1.3865
utt 907_mix.wav: mix 2.3678, est 1.9239
utt 106_mix.wav: mix 1.3864, est 1.6177
utt 739_mix.wav: mix 1.1164, est 1.2718
utt 792_mix.wav: mix 1.1821, est 1.3162
utt 398_mix.wav: mix 2.0740, est 2.3204
utt 498_mix.wav: mix 2.1155, est 2.5509
utt 647_mix.wav: mix 1.0782, est 1.2698
utt 159_mix.wav: mix 1.3314, est 1.4475
utt 900_mix.wav: mix 1.3447, est 1.5164
utt 269_mix.wav: mix 1.8576, est 1.9998
utt 229_mix.wav: mix 1.5564, est 1.8031
utt 898_mix.wav: mix 1.0494, est 1.1107
utt 553_mix.wav: mix 1.1316, est 1.2413
utt 290_mix.wav: mix 1.0333, est 1.1696
utt 996_mix.wav: mix 1.3498, est 1.8042
utt 473_mix.wav: mix 1.3800, est 1.4208
utt 888_mix.wav: mix 1.1659, est 1.3580
utt 958_mix.wav: mix 1.5868, est 1.7277
utt 327_mix.wav: mix 1.7004, est 1.9228
utt 584_mix.wav: mix 1.0491, est 1.0947
utt 506_mix.wav: mix 2.1333, est 1.7754
utt 940_mix.wav: mix 1.3855, est 1.5300
utt 396_mix.wav: mix 1.0343, est 1.0769
utt 22_mix.wav: mix 1.1218, est 1.4055
utt 489_mix.wav: mix 1.7216, est 1.8424
utt 75_mix.wav: mix 1.2871, est 1.2202
utt 354_mix.wav: mix 2.4782, est 2.4527
utt 113_mix.wav: mix 2.4860, est 2.3966
utt 357_mix.wav: mix 1.1727, est 1.1814
utt 504_mix.wav: mix 1.2015, est 1.4477
utt 474_mix.wav: mix 1.2669, est 1.8671
utt 587_mix.wav: mix 1.0467, est 1.0926
utt 68_mix.wav: mix 1.2415, est 1.1737
utt 282_mix.wav: mix 1.5639, est 2.0922
utt 502_mix.wav: mix 1.3911, est 1.3451
utt 485_mix.wav: mix 1.5940, est 1.7836
utt 475_mix.wav: mix 1.9862, est 2.0414
utt 861_mix.wav: mix 1.1964, est 1.4951
utt 548_mix.wav: mix 1.5992, est 1.4557
utt 708_mix.wav: mix 1.6649, est 1.7817
utt 313_mix.wav: mix 1.0831, est 1.1615
utt 933_mix.wav: mix 1.0612, est 1.1989
utt 880_mix.wav: mix 1.3487, est 1.7045
utt 464_mix.wav: mix 1.6077, est 1.8021
utt 317_mix.wav: mix 1.1084, est 1.2316
utt 943_mix.wav: mix 1.1372, est 1.2163
utt 189_mix.wav: mix 1.0801, est 1.2101
utt 701_mix.wav: mix 4.6439, est 2.6582
utt 902_mix.wav: mix 1.0547, est 1.4205
utt 110_mix.wav: mix 1.9777, est 1.9929
utt 521_mix.wav: mix 1.1776, est 1.2226
utt 845_mix.wav: mix 1.1329, est 1.2295
utt 430_mix.wav: mix 1.1735, est 1.3420
utt 724_mix.wav: mix 1.1479, est 1.1695
