utt 347_mix.wav: mix 11.1028, est 11.3774
utt 637_mix.wav: mix 12.2906, est 11.7435
utt 654_mix.wav: mix 8.9338, est 10.8573
utt 409_mix.wav: mix -2.3025, est 1.6806
utt 972_mix.wav: mix 2.6784, est 6.5379
utt 205_mix.wav: mix 0.8384, est 6.8011
utt 57_mix.wav: mix 11.8685, est 11.3045
utt 332_mix.wav: mix 109.5516, est 13.7144
utt 773_mix.wav: mix 11.2733, est 13.3817
utt 326_mix.wav: mix 7.3821, est 8.1989
utt 983_mix.wav: mix 3.4631, est 11.5549
utt 107_mix.wav: mix 3.8137, est 3.7522
utt 132_mix.wav: mix 0.9953, est 6.7959
utt 907_mix.wav: mix 10.0559, est 10.4504
utt 106_mix.wav: mix 11.2177, est 13.5634
utt 739_mix.wav: mix 2.8506, est 7.8679
utt 792_mix.wav: mix 0.6481, est 3.9107
utt 398_mix.wav: mix 13.1283, est 10.5969
utt 498_mix.wav: mix 14.4448, est 11.1444
utt 647_mix.wav: mix -0.1435, est 6.0458
utt 159_mix.wav: mix 7.8162, est 10.3719
utt 900_mix.wav: mix 9.6468, est 10.4713
utt 269_mix.wav: mix 6.8910, est 8.6175
utt 229_mix.wav: mix 8.2775, est 13.6016
utt 898_mix.wav: mix -4.6636, est 5.1846
utt 553_mix.wav: mix -1.7452, est 4.5742
utt 290_mix.wav: mix -4.4914, est 5.3862
utt 996_mix.wav: mix 4.1480, est 11.4559
utt 473_mix.wav: mix 10.5623, est 7.4026
utt 888_mix.wav: mix -0.5218, est 9.5987
utt 958_mix.wav: mix 11.1435, est 12.9579
utt 327_mix.wav: mix 12.3859, est 11.4729
utt 584_mix.wav: mix 1.4872, est 6.1119
utt 506_mix.wav: mix 7.2337, est 10.0184
utt 940_mix.wav: mix 0.1461, est 10.8049
utt 396_mix.wav: mix -4.6469, est 1.5959
utt 22_mix.wav: mix -1.7798, est 7.2312
utt 489_mix.wav: mix 9.4611, est 11.9585
utt 75_mix.wav: mix 0.0558, est 5.2620
utt 354_mix.wav: mix 14.2123, est 11.0146
utt 113_mix.wav: mix 12.5640, est 13.3336
utt 357_mix.wav: mix 1.8731, est 8.7111
utt 504_mix.wav: mix -2.4308, est 4.0178
utt 474_mix.wav: mix 11.0272, est 11.7870
utt 587_mix.wav: mix -2.7079, est 6.1310
utt 68_mix.wav: mix -2.6547, est 1.9170
utt 282_mix.wav: mix 8.5260, est 9.2735
utt 502_mix.wav: mix -1.4608, est 3.0333
utt 485_mix.wav: mix 7.7628, est 8.7379
utt 475_mix.wav: mix 14.8960, est 14.2790
utt 861_mix.wav: mix 5.1763, est 10.5754
utt 548_mix.wav: mix 14.0328, est 12.6895
utt 708_mix.wav: mix 14.5035, est 12.4948
utt 313_mix.wav: mix 2.5080, est 5.6456
utt 933_mix.wav: mix -4.9978, est 8.2566
utt 880_mix.wav: mix 6.5048, est 10.6349
