utt 347_mix.wav: mix 0.9380, est 0.9324
utt 637_mix.wav: mix 0.8914, est 0.8922
utt 654_mix.wav: mix 0.8986, est 0.9036
utt 409_mix.wav: mix 0.9088, est 0.8976
utt 972_mix.wav: mix 0.7699, est 0.8226
utt 205_mix.wav: mix 0.8224, est 0.8201
utt 57_mix.wav: mix 0.8882, est 0.8808
utt 332_mix.wav: mix 1.0000, est 0.9922
utt 773_mix.wav: mix 0.9773, est 0.9658
utt 326_mix.wav: mix 0.8260, est 0.8423
utt 983_mix.wav: mix 0.8901, est 0.8940
utt 107_mix.wav: mix 0.8976, est 0.8858
utt 132_mix.wav: mix 0.9186, est 0.9240
utt 907_mix.wav: mix 0.9401, est 0.9292
utt 106_mix.wav: mix 0.8672, est 0.8896
utt 739_mix.wav: mix 0.9192, est 0.9196
utt 792_mix.wav: mix 0.8071, est 0.8128
utt 398_mix.wav: mix 0.9754, est 0.9648
utt 498_mix.wav: mix 0.8470, est 0.8163
utt 647_mix.wav: mix 0.8217, est 0.8640
utt 159_mix.wav: mix 0.8375, est 0.8602
utt 900_mix.wav: mix 0.8815, est 0.8936
utt 269_mix.wav: mix 0.8940, est 0.9150
utt 229_mix.wav: mix 0.9820, est 0.9742
utt 898_mix.wav: mix 0.6731, est 0.6974
utt 553_mix.wav: mix 0.8627, est 0.8826
utt 290_mix.wav: mix 0.7490, est 0.7849
utt 996_mix.wav: mix 0.9609, est 0.9602
utt 473_mix.wav: mix 0.8783, est 0.8736
utt 888_mix.wav: mix 0.7994, est 0.8072
utt 958_mix.wav: mix 0.9555, est 0.9478
utt 327_mix.wav: mix 0.9603, est 0.9437
utt 584_mix.wav: mix 0.7750, est 0.8002
utt 506_mix.wav: mix 0.9357, est 0.8943
utt 940_mix.wav: mix 0.8647, est 0.8770
utt 396_mix.wav: mix 0.6825, est 0.6617
utt 22_mix.wav: mix 0.8913, est 0.8951
utt 489_mix.wav: mix 0.8493, est 0.8792
utt 75_mix.wav: mix 0.6874, est 0.7735
utt 354_mix.wav: mix 0.9531, est 0.9502
utt 113_mix.wav: mix 0.9839, est 0.9738
utt 357_mix.wav: mix 0.8918, est 0.9199
utt 504_mix.wav: mix 0.6178, est 0.6000
utt 474_mix.wav: mix 0.8606, est 0.8613
utt 587_mix.wav: mix 0.6732, est 0.7493
utt 68_mix.wav: mix 0.6879, est 0.6814
utt 282_mix.wav: mix 0.9792, est 0.9781
utt 502_mix.wav: mix 0.8839, est 0.8364
utt 485_mix.wav: mix 0.8064, est 0.8274
utt 475_mix.wav: mix 0.9941, est 0.9897
utt 861_mix.wav: mix 0.9219, est 0.9406
utt 548_mix.wav: mix 0.9475, est 0.9437
utt 708_mix.wav: mix 0.9415, est 0.9194
utt 313_mix.wav: mix 0.8704, est 0.8700
utt 933_mix.wav: mix 0.7568, est 0.7755
utt 880_mix.wav: mix 0.9061, est 0.9069
utt 464_mix.wav: mix 0.8926, est 0.8854
utt 317_mix.wav: mix 0.9160, est 0.8938
utt 943_mix.wav: mix 0.7450, est 0.7597
utt 189_mix.wav: mix 0.7800, est 0.8178
utt 701_mix.wav: mix 1.0000, est 0.9703
utt 902_mix.wav: mix 0.9578, est 0.9289
utt 110_mix.wav: mix 0.9611, est 0.9561
utt 521_mix.wav: mix 0.7286, est 0.7267
utt 845_mix.wav: mix 0.7586, est 0.6757
utt 430_mix.wav: mix 0.8814, est 0.9180
utt 724_mix.wav: mix 0.6510, est 0.6121
utt 781_mix.wav: mix 0.9317, est 0.9208
utt 437_mix.wav: mix 0.8943, est 0.9123
utt 704_mix.wav: mix 0.9520, est 0.9510
utt 224_mix.wav: mix 0.9263, est 0.9240
utt 24_mix.wav: mix 0.7553, est 0.7844
utt 219_mix.wav: mix 0.6556, est 0.7061
utt 998_mix.wav: mix 0.3929, est 0.4319
utt 745_mix.wav: mix 0.5753, est 0.5902
utt 299_mix.wav: mix 0.8250, est 0.8488
utt 109_mix.wav: mix 0.9670, est 0.9551
utt 217_mix.wav: mix 0.9693, est 0.9739
utt 156_mix.wav: mix 0.8980, est 0.8746
utt 266_mix.wav: mix 0.9317, est 0.9066
utt 615_mix.wav: mix 0.9051, est 0.8337
utt 87_mix.wav: mix 0.8150, est 0.7843
utt 138_mix.wav: mix 0.9641, est 0.9756
