epoch, iter, tr_loss, cv_loss
1, 100, 0.0522, 0.0363
1, 200, 0.0316, 0.0291
2, 100, 0.0229, 0.0214
2, 200, 0.0197, 0.0171
3, 100, 0.0149, 0.0146
3, 200, 0.0130, 0.0136
4, 100, 0.0117, 0.0130
4, 200, 0.0099, 0.0112
5, 100, 0.0087, 0.0095
5, 200, 0.0080, 0.0094
6, 100, 0.0070, 0.0089
6, 200, 0.0075, 0.0084
7, 100, 0.0062, 0.0073
7, 200, 0.0064, 0.0084
8, 100, 0.0057, 0.0069
8, 200, 0.0056, 0.0079
9, 100, 0.0048, 0.0070
9, 200, 0.0052, 0.0069
10, 100, 0.0043, 0.0066
10, 200, 0.0046, 0.0068
11, 100, 0.0045, 0.0060
11, 200, 0.0040, 0.0059
12, 100, 0.0043, 0.0063
12, 200, 0.0037, 0.0065
13, 100, 0.0039, 0.0056
13, 200, 0.0035, 0.0054
14, 100, 0.0035, 0.0059
14, 200, 0.0034, 0.0054
15, 100, 0.0034, 0.0055
15, 200, 0.0031, 0.0049
16, 100, 0.0030, 0.0053
16, 200, 0.0030, 0.0052
17, 100, 0.0029, 0.0051
17, 200, 0.0027, 0.0049
18, 100, 0.0027, 0.0050
18, 200, 0.0026, 0.0055
19, 100, 0.0028, 0.0049
19, 200, 0.0025, 0.0049
20, 100, 0.0026, 0.0048
20, 200, 0.0022, 0.0058
21, 100, 0.0026, 0.0049
21, 200, 0.0025, 0.0046
22, 100, 0.0023, 0.0046
22, 200, 0.0023, 0.0047
23, 100, 0.0022, 0.0045
23, 200, 0.0022, 0.0048
24, 100, 0.0021, 0.0051
24, 200, 0.0022, 0.0048
25, 100, 0.0021, 0.0045
25, 200, 0.0021, 0.0045
26, 100, 0.0020, 0.0042
26, 200, 0.0020, 0.0042
27, 100, 0.0020, 0.0042
27, 200, 0.0019, 0.0044
28, 100, 0.0018, 0.0041
28, 200, 0.0019, 0.0044
29, 100, 0.0018, 0.0044
29, 200, 0.0019, 0.0048
30, 100, 0.0018, 0.0042
30, 200, 0.0017, 0.0046
